stem,stem_translit
panǰāh ud haft,50 7
pas ān ka,AHL ZK AMT
amarg,ʾmlg
azarmān,ʾzlmʾn
abēš,ʾbyš
apetyārag,ʾptydʾlk
druz,dlwcʾ
hunušag,hwnšk
sāstār,sʾstʾl
kayak,kdk
stard,stlt
kē,AMT
sūrāg,swlʾk
dwārist,dwbʾlst
ayōxšust,ʾywk'šwst
hambār,hmbʾlyn
xward ēstēd,hwlt YKOYMWNyt
čehel,40
hangēz,hngycyn
gōšt,gwšt
zāy,Y̱LYDWN
hagriz,hklc
ēk abāg did,ʾywk LWTE TWḆ
āsāy,ʾsʾdyn
apetyārag,ʾp̄tydʾlk
ahōš,ʾhwš
rawāg,lwbšn
kard,klt'
xwānād,KLYTWNʾt
zahr,zʾhl
bast hēm,bst hm
wiš,wš
zafar,zpl
bād,bʾt
bēšaz,byšz
āxēz,ʾhcyn
rēš,lyš
kamist,kmst
ā,ʾ
bōz,bwcyn
čēh,cyh
pēšēmāl,pyšʾymʾl
pasēmāl,psʾymʾl
pattāy,ptʾd
aškamb,KLSE
aškomb,ʾškwmb'
wišōb,wšwp
rawād,SGYTWNʾt
wināhīd,wnʾsyt
unknown,mtwkck
any,AHR
ōzad hē,Y̱KTLWNt HWEydy
kārwān,kʾlwʾn
padīr,ptyl
padīrānd,MKḆLWNʾnd
xwar,hwln'
nišīnānd,YTYBWNʾnd
gāh,gʾh
tuxš,tw
wad,SL
gumān,gwm
bēšīd,byšyt
ǰādag,yʾtk'
šaš,6
dāšt ēstēd,dʾšt YKOYMWNyt
widārd,wtʾlt
kāst,kʾhst
anī,AHRN
dōš,dw
xēšm,ʾyš
spazg,spzg
sazist,scstn
paywast,ptw'st
būd,YHWWNt'
garzīd,glcytn
vičidāiti,vičidāiti
kām,nʾ
staft,stpt
mihrōdruǰ,mtrwdl
bar,y̱bl
mardōm,ANŠYTA
dīd,HẔYTWNtn
pahikar,ptkl
nigārd,nkʾl
ganǰ,gn
brāh,blʾd
srōg,slwk
srōg,dlwg
gōw,gwb
ma,AHL
uzmāy,ʾwzmʾ
ras,ls
warz,wlc'
sard,slt
rasād,YHMTWNyt
bandīh,ASLWNy
dānist hē,YDOYTWNst HWEydy
wurrōyist,HYMNNstn
wardēn,wl
zad,zt'
daštān,dštʾn
pēm,pym
ǰud,ywd
rēštagīh,lyštkyh
hamēmāl,hʾmymʾl
akāmagīhā,ʾkʾmkyhʾ
ǰadag,ytk'
dēwān,wynʾn
šab,šps
ōstīgān,ʾwstykʾn
āmōg,hmwk
šāyist,šʾdst
padīrift,ptylpt
brēhēn,blyhy
brēhēnīd ēstād,blyhynyt YKOYMWNʾt
pāy,ʾp̄
aranǰīhā,ʾlncyhʾ
frayād,pldʾ
abrōz,ʾp̄
mēhan,myhn
zīndag,zyndk
menīd,mnyt
dagr,AYLK
ō ī,OL Y
framōš,plmwš
anayādīh,ʾnʾḇyḏʾtyh
ālūdag,ʾlwtk
frōd,plw
abāš,ʾp̄ʾš
barīh,blyh
brēhēnīd ēstēd,blyhynyt YKOYMWNyt
ǰast ēstēd,yst YKOYMWNyt
framāy,plmʾ
enyā az,ʾynyʾ MN
pahrēxt ēstēd,pʾhlyht YKOYMWNyt
āxēz,ʾhyz
awināhtar,ʾwnʾstl
huwaršt,hwwlšt'
dušmat,dwšmat
pen,pn
drōz,dlwcn
freh,plyhbwt
būd,mynšnyh
paymān,pytmʾn
ēd,HWEyt
afrēftāragīhā,ʾplyptʾlkyhʾ
must,mwsty
abaz,LAWHL
bowandagtar,bwndktl
šnās,šnʾ
hamēmal,hmymʾl
pād,NTLWNt
arešk,ʾlšk
būšāsp,bwšʾsp
ahunsandtar,ʾhwnsndtl
ačāragtar,ʾcʾlktl
bēšēnīdārtar,byšynytʾltl
anespāstar,ʾnspʾstl
kōxšīd,kwhšyt
sahm,shm
anabaxšāyišnīgtar,ʾnʾp̄hšʾyšnyktl
frāmōš,plmwš
kirbag,krpk'
nīgāh,nkʾs
āsn,ʾsn
gōšōsrūd,gwšʾwslwt
abzūd,ʾp̄zwtn
pand,pnd
ēstād,YKOYMWNtn
widerīd,wtylyt
pas az,AHL hc
frazāmēnīd,plcʾmynytn
wirāst,wylʾstn
ahunsandīh,ʾhwnsndyh
uzīd ēstēd,ʾwcyt YKOYMWNyt
ǰuttar,ywdtl
āgāhēnīd,ʾkʾsynytn
ōz,ʾwc
ayāft,ʾyʾp̄
škōh,'škwh
aranǰagīhātar,ʾlnckyhʾtl
passand,psn
weh,wyʾhwyh
xwāhīh,hwʾhyh
ōšmār,ʾwšmʾ
bōxt,bwhtn
mehmān,mhmʾn
winār,wynʾ
čiyōn,cygw
bar,b
wanīgarīh,wnyklyh
pačībāg,p'cypʾk
āgenēn,ʾknyn'
gumēxt ēstēnd,gwmyht YKOYMWNyt
čim,cym
wihānag,whʾnk
wēn,HẔYTWNy
baw,YHWWNt
iz tis,c MNDOM
āwēn,ʾwy
pāymār,pʾtymʾl
awināhīhā,ʾwnʾsyhʾ
aranǰagīhā,ʾlnckyhʾ
frazāmīh,plcʾmyh
spihr,spyyhl
brīn,blyn'
husraw,dwslwb
dar,YHSN
šāy,
šnāyēnīdārtar,šnʾdynytʾltl
nārīg,nʾylyk
anāz,ʾnʾc
anespāsān,ʾnspʾsyh
āzārd,ʾcʾl
sahm,sh
pādixšāy,pʾthšʾyh
ašāy,ʾšʾd
apādyāwandīh,ʾpʾtydʾwndyh
anummēdīh,ʾnʾwmytyh
mad bawēd,mt YHWWNyt
xast,hst
awištāft,ʾwštʾp̄
anummēd,ʾnʾwmyt
awināh,ʾwnʾs
šnās,šnʾs
fsārd,psʾlt
anespāsān,ʾnspʾsʾn
hanǰāmīh,hncʾmyh
niyāzīh,nydʾcyh
xwāhīh,hwʾdyh
ayāft,ʾyʾp̄tn
tišn,tyš
handēšīd,hndyšytn
afrēftār,ʾplyptʾl
sālār,hmsrdʾl
abaxšāyišnīgar,ʾp̄'hšʾdšnygl
čērīh,cylyh
mad,mt'
društ,dlwšt
pattāy,pt
nišast,YTYBWNstn
xīr,hyl
bazakkarān,bckḵlʾn
garāmīg,glʾmyk
padīr,pty
paywand,ptwn
ranǰ,ln
parist,pls
mihrōdruǰ,mtrwdlwc
āgāh,ʾgʾsʾ
yal,yl
abespārīh,ʾp̄spʾlyh
māzdēsn,mʾzdys͟n
kard hēnd,krt HWEd
šnāy,šnʾd
abzāyēnīd,ʾp̄zʾdynyt
amahraspand,ʾmhrsp̄ndʾ
āfrīn,ʾp̄ryn
abēzag,ʾp̄yck'
zīw,
nibēsīhēm,Y̱KTYBWNyhym
stūdgar,stwtgl
zarduxšt,zltwhšt'
ahōšīh,ʾhwšyh
xwāst,BOYHWN'st'
harwisp,hlwsp̄'
nimūd,nmwt'
azg,ʾzg
zarr,ZHBAy
pōlāwad,pwlʾp̄ty
āhen,ʾsyn'
ēstād,YKOYMWNʾt'
dāšt,dʾšt'
dīd,HẔYTWNt'
xwarm,hwlm
guft,gwpt'
mēnōg,mynwḵʾ
nimāy,nmʾdy
draxt,dlʾht
dīd,dyt'
wištāsp,wštʾsp̄'
pursēm,pwrsym
kālbod,kʾlpwt'
wirēg,lyk
nihān,nyhʾn'
pōlāwad,pwlʾpty
wizārd,wcʾl
wars,wls
dah,dhʾ
sadōzim,stwzm
spitāmān,sp̄ytʾmʾn'
yasn,ysn
hordād,hwrdt'
yasn,ysn'
aštād,ʾštʾt'
mazdak,mzdk
āmad,YATWNt'
šān,šʾn'
petyārag,ptydʾlk'
yazad,yẕdʾ
māh,mhy
windād,wdʾt
nēw,nw
šāhpuhr,šʾhp̄whl
farrōbay,plwbʾg
adrō,ʾKDBA
ādurbād,ʾtwrpʾt'
xwāst,BOYHWNst'
paymān,ptmʾn'
guft hād,gwpt HWE't'
ēd ī,HNA Y
kunē,OḆYDWNyy
ǰud,ywdt'
gōbed,gwkpt'
yōšt,ywšt'
fryān,plyʾn'
čihrōmyān,cytlwkmydʾn
wištāsp,wštʾspʾ
hād,HWEt'
kunē,OḆYDWNydy
wurrōy,HYMNN
māzdēsn,mzdsnʾ
any,AHRN'
ōyšān,OLEšʾn'
mardōm, ANŠWTAʾ
brādrōš,blʾtlwš
karb,klp'
sahist,MDMENst'
harwisp,hlwsp̄
dānist,YDOYTWNst'
grift,OHDWNt'
gēhān,gyhʾn'
ast,ʾstʾ
xwar,OŠTEN'
xward,OŠTENt'
gumēxt,gwmyht'
šabān,špʾn'
mardōm,mltwmʾ
gōspand,gwsp̄nd
spandarmad,sp̄ndrmt'
rust ēstēd,lwst' YKOYMWNyt'
gumēxt ēstēd,gwmyht' YKOYMWNyt'
winārd hēm,wynʾlt HWEm
burd,YḆLWNt'
mālīd,mʾlyt
xuft ēstēm,HLMWNt' YKOYMWNm
spitāmān,spytʾmʾn'
abzōn,ʾp̄zwn'
dīd hēm,HẔYTWNt' HWEwm
hangad,hngt'
kars,kls
sahist,MDMENstگ
frabih,plpyh
rōyēn,lwdyn'
brinǰ,blncy
arzīz,ʾlcycy
zardušt,zltwšt'
dēwān,ŠDYAʾn'
tār,tʾl
dušox,dwšhw'
dwār,dwbʾlyn
ardaxšīr,ʾlthštl
wahman,whwmn'
spandyād,sp̄ndyʾtʾ
xwānīh,KLYTWNyh
payrāy,pʾylʾ
šāpuhr,šʾhpwhl
ārāy,ʾyl
sāmān,sʾmʾn
passāxt,psʾh
rist,lystk
walaxš,wlhš
ristag,lʾstk
burd,blyt
ag,ʾk'
kalsyāgīh,klsyʾkyh
abesīh,ʾp̄sy
wēnāb,wynʾp̄
ǰādūg,yʾtwkʾ
tom,twm
mazdak,mzdḵ
bāmdād,bʾmdʾtʾ
rōšn,lwšn'
nidom,nytwm
kust,kws
xwarāsān,hwlʾsʾn'
grift,glpt'
kirrōg,ḵlwk
zōšn,zwšn
h,HWE'
andar,LALA
sōz,swcyn
wināh,wnʾsn
mān,mʾny
dahigān,MTAykʾnʾ
dahigān,dhyywkʾn
zēnhār,znhʾl
māzdēsn,mʾzdsn
nišāst ēstēd,nšʾst'
āwārag,ʾp̄ʾlk
ast,ʾst'
deh,MTAʾ
pašt,pšt'
ēwēn,ʾdw'yn'
zēnhār,zynhʾl
brād,blʾt'
dāmād,dʾmʾt'
xwasrū,hwslw
kēsag,ḵys
mādar,mʾtl
duxt,dwht'
xwaršēd,hwlšyt'
nihang,nyhng
sāl,ŠNT'
spandarmad,spndrmt'
nihang,nhng
ǰōrdāyān,ywltʾkʾn
hašt,8
kāh,kʾh
spēd,sp̄yt
draxt,dlht'
xwarum,hwlwm
namak,nmk
sard,sltk
jud,ywdt
nigān,nkʾn
nigānīd,nkʾnytn
šust,šwstn
sōxt,swhtn
pahrēz,pʾhlycyn
hangār,hngʾlyn
škeft,škpt'
xrūdrafš,hlwdlpš
dēn,dyn'y
dār,dʾlyn
išān,šʾn'
pādyāb,pʾtyʾp̄
hixr,hyhl
baršnūm,blswm
šōy,HLLWN
maγ,mγ
barsom,blswm
wistar,wstl
drōn,dlwn'
pādixšā,ŠLYTA
nēst,LOY
ēsm,ʾsm
yašt,yšt'
nērangestān,nylngstʾn'
dān,YDOYTWN
kēš,kyšʾ
kirbakkar,krpkḵl
mowmard,mwgmlt
wišād,wšʾt'
xwurd,hwltk
wuzurg,wcwlgʾ
mowmard,mwgmltʾ
zōš,zwš
xwurd,hwlt
pādixšāy,pʾthšʾʾ
āwārag,ʾp̄ʾlkʾ
burd,bwltʾ
muhr,mwyl
wizurd,wcwlt'
ahlaw,ʾhlwbʾ
hangēzēn,hngyc'yn
spazg,sp̄zg
abārōn,ʾp̄ʾlwnʾ
gugāhīh,gwkʾsyh
ānāst,ʾnʾst
burd ēstēd,YḆLWNt YKOYMWNyt'
hērbed,hylptʾ
hāwišt,hʾwštʾ
āhōg,ʾhwk'
padīr,ptylyn
sadōzim,stwkzm
āz,ʾc'
parist,plyst
ānāstag,ʾnʾstk
abr,ʾbl
wārān,wʾlʾn'
asmān,ʾsmʾn'
nizm,nyzm
šabēn,špy
garm,glm
sard,slt'
wād,wʾt'
ǰōrdāyān,ywltʾḵʾn'
barēd,YḆLWNyt'
wārān,wʾlʾn
wār,wʾl
xānīg,hʾnyk
pōst,pwst'
tanuk,tnwk
čarbišt,clbšt'
nērōg,nylwk'
kustīg,kwstyk
mayān,mdyʾn'
dādestān,dʾtstʾn'
aburnāy,ʾp̄wlnʾd
pīm,pym
wiyufsišn,ywpsšn'
āy,YATWN
ǰašn,yšn'
pēš,py
usōfrīt,ʾwswplyt'
fraward,plwlt
pādāšn,pʾtdʾšn'
abaxšāy,ʾp̄hšʾyn
stāyīd ēstēd,stʾyt YKOYMWNyt'
raw,lwb
dahigān,dhyykʾn
uzdehīg,ʾwcsk
wattarān,SLYtlʾn'
ačāragīh,ʾcʾlkyh
abesīh,ʾp̄shyn
sabuk,sp̄wk
wišāy,ŠLYTWN
ayōxšust,ʾywkšwst'
arzīz,ʾlcyc
srub,slp
band,bn'dk
xazar,htwl
tōbit,twpyt'
awērag,ʾwylk
kōfyār,kwpdʾl
čīn,cyn'
suγd,swpt
hrōmāyīg,hlwmʾyk
karmag,klmk
raxt,lht
spēd,sp̄yt'
ān,ʾn
hrōmāyīgān,hlwmʾyykʾn
magas,mks
darbās,dlpʾs
xwēd,hwyt
kahas,kts
rōd,lwt'
gird,glt'
azēr ī,hcdl Y
zamīg,zmyk
škoft,škwpt'
kāh,kʾ
seǰ,syc
pēš,LOYN
gannāg,gnʾk
abesīhēnīd,ʾp̄shynytn
pādixšāy,pʾthšʾy
ēdōn,ʾytwn' wyh
xwah,YPLHWN
pāzand,pʾcnd
čāš,cʾš
ēmēd,ʾyymyt
dēn,dynʾ
dēw,dyw'
ēsnān,yysnʾn
t,t'
tuwān,twbʾn'
xwāh,BOYHWN'
pursīd,pwrsyt'
xwān,KLYT
iθā ā yazamaidē ašəm vohū,iθā ā yazamaidē ašəm vohū
kard ēstēd,krt' YKOYMWNyt'
hōmāst,hwmʾst'
srūd ēstēd,slwt' YKOYMWNyt'
srūd,slwt'
būd hē,YHWWNt' HWEyӯ
škoft,škwp
frāsyāb,plʾsyʾp̄
awērān,ʾp̄ylʾn'
ān ī ka,ZK Y AMT
asp,ʾsp̄'
sumb,swmb'
kanīh,HP̱LWNyh
didēm,dytʾʾm
gōwēm,YMLLWNm
ast,AYTʾ
ud,OL
čegām,cykʾm
nar,ZḴL
mād,NK
yazēm,yzm
nar,ZKL
zardxušt,zltwhšt'
māzdēsn,mʾẕds͟n
āwādag,ʾwbʾtk
zīwānd,zywʾnd
gišnag,gšnk
nišān,nyšʾ
šēdāsp,šytʾsp̄
windād,wndʾt'
kulāh,klʾh
nišān,nyšʾn
nimāy,nmʾ
ward,wlt
nišān,nyš
būm,bwmy
rāyēn,lʾdyn
gānag,kʾnk
gānag,kʾnk'
tāz,tʾcyn
arang,ʾlng
frāt,plʾt'
tā ō,OD OL
gawrān,gwrʾn
hamār,hmʾl
mān,Y̱KTLWN
gilistag,glystk
tōhm,twhmk
sad,st
ward,wltyn
nišān,nyšʾn'
an,ʾn
kamīr,klmyl
mar,m
buš,bwš
hrōmāyīg,hlwmʾyk'
ardīg,ʾltš
būd bawēd,YHWWNt' YHWWNyt'
abāg,ʾp̄ʾk
arǰāsp,ʾlcʾsp̄
wišūd,wšwt'
ī,k
nišān,nšʾ
ādur,ʾtwr'
gušnasp,gwšnsp̄'
čēčast,cycst'
zofr,zpl
garm,glmw'
māhīg,mʾhyḵ
ādurōg,ʾtwr'k
karzang,k'lcng
tāz,tʾc
drayā,dlyʾ
frazand,prcnd
zīw,zywyn
zardxušt,zltwhšt
zardušt,zltwšt'ʾ
šāy,šʾdn
zarduxšt,zltwhštʾ
zrēh,zlyẖ
kayānse,kyʾnsyʾ
kābul,kʾp̄l
čīn,cyns
hindūgān,hndwkʾn'
šāpuhr,šʾp̄wl
stārag,stʾlk
parwar,plwlyn
abrāst,ʾp̄lʾst
abrāst,ʾp̄lʾ
būm,bw
andar,ʾnd
bahr,bʾhlʾ
bālist,bʾlyst'
frōd,plwt'
gund,gwnd
sagestān,sgstʾn'
harē,hlyʾw'
tabarestān,tplstʾn'
kurd,klt
karmān,klmʾn
nē,lʾd
gurg,gwlg
dašt,dšt'
nišān,nišʾn
šēd,šytʾ
abrāst,ʾp̄lʾs
babar,b'pl
bandug,bndwk
nixwār,nswbʾlyn
bōy,bwdyn
zamān,zmʾn'
men,mnʾ
zamestān,ẕmstʾn'
warg,wlg
abgan,ʾp̄kn
dwār,dwbʾl
xurdruš,hlwydlpš
dēw,dyw
ēsnān,ʾysnʾn'
frēstēm,ŠD͟RWNm
nēryōsang,nylyywsng
čihrōmyān,cytlwmydʾn'
wištāsp,wštʾsp̄ʾ
ay,HNA
ātaxš,NWLA
yaz,YḎBHWN'
hōmāst,hwmʾst
nēryōsang,nylyywksng
čagād,ckʾt
dāitī,dʾytyk
čihrōmyān,cytlwmydʾn
frāz,prʾc'
sad panǰāh,100
samōr,smwl
humat,hwmt'
hūxt,hwht'
ābān,ʾp̄ʾn'
hādoxt,hʾtwht'
bay,bg
škennēd,TBLWNyt'
nišast,YTYBWNst'
zōt,zwt
sāz,sʾcyn
wistar,wstlyn
nērang,ylng
uzdēszār,ʾwcdystcʾl
nišēm,nyhʾ
xurdruš,hlwdlpš
zofāy,zwpʾy
kōxš,kwhšʾ
hukēryād,hwkylyʾt
āyēm,YATWNm
framāyēm,plmʾdynm
tag,tk
xwarrah,GDE'
māzdēsn,mʾstʾ
framān,plmʾn'
gōyōd,gwyʾwt'
gōyōd,gʾwt'
pašt,pšty
dahāg,dhʾk'
hrōmāyīg,hlwmʾyyk
kustīg,kwstykʾ
ašnūd,ʾšnwt
stōwīh,stwbyh
tār,tʾr
škennēnd,šknynd
druwand,dlwndʾ
tōm,twm
didēm,wdythym
band,ASLW
gumārd,gwmʾlt'
wirāy,wyl
nirfs,nlps
gušnasp,gwšnʾsp
ēsm,ʾysm
ōš,ӯ
tōhm,twmk
zad,MHYTWNt'
bawād,YHWWNʾt'
dēw,ŠDYAA
parīg,plyk
tōhm,twm
dēwān,ŠDYAn'
abzāyād,ʾp̄zʾdʾt'
mahist,mhst'
dahāg,dhʾkʾ
rūdag,lwtk
warzīd,wlcytʾ
hāwišt,hʾwšt'
ōšīdar,'wšytlʾ
hazār ud hašt,1000 W 8
tārīk,tʾlyk'
arzah,ʾlzh
wōrūbaršt,wlwblšn'
wōrūǰaršt,wwlwclšn'
nēm,ny
ērān,ʾylʾ
hamē,hmʾy
az,ʾc
māh,mʾhʾ
bizišk,bcšk
kirrōg,klwk
darmān,dlmʾn'
kārd,kʾlt'
dāsr,dʾsl
kōf,kwp'
rōn,lwn
frēdōn,plytwn'
čim rāy ka,cym lʾd AMT
wiyōzē,wwydwcyt'
āxēzē,ʾhycydy
ānīd hēnd,HYTYWNt' HWEd
az ān čiyōn,MN ZK cygwn
dēsag,dysk
wiyōz,wydwc
ōbār,ʾwpʾl
garān,glʾn'
garz,glc
ōzan,YKTLWN
šāyēm,šʾym
waxšēm,whšym
tazēm,tc'm
nēryōsang,nylywksng
karsāsp,klsʾsp̄
ǰumb,ym
wāng,KALAd
gad,gt
pahikōb,ptkw
ōzan,YKTLW
drōšag,dlwšk
sōšāns,swkšʾns
farrōbay,plwbʾ
dāšt,dyt
awēstwār,ʾwstwbʾl
awestwār,ʾwstwb
kišt,ZLYTWNtn
niyōxšidārīh,ndwhšytʾlyh
pābag,pʾp̄kʾ
alaksandar,ʾlksndl
sad čehel,100 30
spahān,sphʾn
šahryār,štr'dʾl
gumārd,gwmʾl
sāsān,sʾsʾn'
šubān,špʾn'
dārāy,dʾlʾ
wirēg,wlyk
kurdān,kwltʾʾn'
šabān,špʾnʾ
dānist,YDOYTWNst
zād ēstēd,Y̱LYDWNt YKOYMWNyt
sāsān,sʾsʾn
tāb,tʾp̄
nišast ēstād,YTYBWNst YKOYMWNʾt
pērāmōn,pylmwn
namāz,OSGE
bar,blyn
burz,bwlcy
waxš,whšyn
ēwēnag,ʾdwynk'
dīd ēstād,HẔYTWNt YKOYMWNʾt
wizār,wcʾlʾ
gušnasp,gwšsp̄'
frēstād,ŠD͟RWNt
hē,HWEyӯ
ābzan,ʾp̄zn'
paymōzan,ptmwcn'
āwurd hēnd,YHYTYWNt HWEd
dād hēnd,YHBWNt HWEd
paymōz,ptmwc'
gōnag,gwnk'
parward,plwlt'
ardaxšīr,ʾrthšyl
zād,Y̱LYDWNt
frahixt,plhht'
frahixt,plhh
frēstē,plystydy
framāyēm,plmʾdym
šāyist,šʾst'
sahist,'shst
frēstīd,ŠD͟RWNyt'
frazand,prẕndʾ
wāspuhr,wʾspwhlk
naxčīr,nhcyl
čōbīgān,cwpyḵʾn
nēw,nyw'
čēr,cyl
wwltk,wwltk
aswār,ʾswbʾlʾ
šud ēstād,OZLWNt YKOYMWNʾt
az pas ī,MN AHL Y
tāxt,tʾht
rasīd,lsyt
parr,pl
aškamb,ʾškmb'
šud,OZLWNt'
sōg,swk
murd,YMYTWNt
aswār,ʾswb
rasīd hēnd,YHMTWNyt HWEd
stahmag,sthmbk
ram,šlm
adādestānīh,ʾdʾtstʾnyh
āwarēm,YHYTYWNm
āxwar,ʾhwl
stōr,stwlʾ
frēstīd,plstyt
šawē,OZLWNydy
būd,bwt'
andōhgen,ʾndwhkn'
passox,pshw'
stēz,sty
bōz,bwc
adān,ʾdʾn'
bāš,YHBWNš
dānē,dʾnydy
xīr,CBW''
abespār,ʾp̄sp̄ʾl
parist,plys
tanbūr,tnbwl
srūd,slwt
wiyābān,nyʾcʾn
mad,mt''
kard,OḆYDWNt͟y
paywast,ptwst'
baxt,bʾht
nazd,nzd
ō pēš,OL pyš
axtar,ʾhtl
ēst,ʾyst
ywʾcdʾn,ywʾcdʾn
bālist,bʾlst
haftōring,hp̄twlng
šēr,šgl
marzīh,mlcyhyn
ham čim rāy,hm cym lʾd
nimāy,nm
xwadāy,hwt
pādixšāy,pʾthš
murw,mw wlmnšʾn
wirēz,OLYKW
wuzurg,wzwlg
ašnūd,OŠMENt'
wirēxt,OLYKWNtn
wizīd,wcyt
mār,mʾlʾ
wirēxt,OLYKWNt
gīrēm,OHDWNym
šawēm,OZLWNym
bōxtēm,bwhtym
rasēm,YHMTWNym
framāyē,plmʾyt
xuft ēstād,HLMWNt YKOYMWNʾt
hindūg,hndwkyh
sār,sl
abesar,ʾp̄ysl
ǰām,MANE
was,kwd
zrēh,zlyӯ
abzār,ʾp̄cʾl
payrāst,pylʾs
wasyār,wsyʾl
stad,YNSḆWNt'
haftād,70
raft hēnd,SGYTWNt HWEyӯ
awištāb,ʾwštʾp̄
raft,lpt'
tarsīd,tlsyt
ma agar,AL HT
šnās,šnʾsn'
nišast,YTYBWNs
rast hē,lst HWEyӯ
wad,wt'
drayā,dlydʾ
raft,lpt
kanīzag,knyck'
ardawān,aldwʾn'
hangrūdag,hnglwtk
ǰeh,yẖ
kēwān,kywʾn
rēz,ly
mayān ī,mdyʾn Y
asmān,ʾsymʾn'
čahār,4000
pay,pdӯ
mardōm,ANŠWTAʾ
tēx,tyh
ardā,ʾltʾk
widašt hēnd,wtšt HWEd
warrag,wlk
dawist,LHTWNst
nēkōgtar,nykwktl
dānēm,YDOYTWNym
gyāg,gywʾk'
guft hēnd,gwpt HWEd
šud hēnd,OZLWNt' HWEd
dō,dw
dānēm,YDOYTNm
ahanūz,ʾhnc
nixwārēm,swbʾlym
pēš kū,LOYN' AYK
raft hēnd,SGYTWNt HWE'd
ranǰēn,lncy
any,ZKydy
wašt,wšt'
gund,gnd
paydāgēnīd,pytʾkynyt'
banāg,bnʾk
spahān,spʾhʾn'
wirēxt ēstād,OLYKWNt' YKOYMWNʾt
bunag,bwnk
ō nazdīk ī,OL nzdyk Y
im,mn
bawēm,YHWWNym
rōstāg,lwstʾk
čašm,AYNE
hangārd,hngʾlt'
ardaxšīr,ʾltštl
nišāst,nšstn
kirbakkar,krpkl
makarestān,mklstʾn'
gird,glt
māhīg,mʾhkʾ
ōzan,Y̱KT'LN
ray,lyӯ
dumbāwand,dwbʾʾwnd
dēlmān,dylmʾn
windād,wndyt
kand,HP̱LWNt
āwurd,YHYTYWNt'
nišāst,YTYBWNst
rāzag,lʾck
dastgird,YDEkrt
zōr,zʾwwl
kurdān,kwltʾn
mād,mʾd
franaft,plnpt
xōn,hwn
padīrift,MKḆLWNt'
aswār,asbʾl
hammis,KHDE
gursag,gwlsk
tišn,tš
dūr,HLYK
xwāst,hwʾst'
mād,mʾdy
kē,kym
būd hēm,YHWWNt hm
tāz,tʾ
šabīxōn,špyhwn
ōzad,ʾwzt
xast,hs
wisē,wsydy
kerm,klm
pahikōft,ptkwpt
aswār,ʾsbʾl
stad,YNSḆWN
gulālān,kwlʾlʾn
gulāl,kwlʾl
armin,ʾlmn
yaz,yẕd
kard,klt
syārzūrīg,sydʾlcwlyk
kust,kwʾt
mad ēstād,mt YKOYMWNʾt
handēšīd,hndyšyt
nazdist,nzst
wirāst,wylʾst'
pardāxt,pldʾhtn
uzdēs,ʾwcyʾm
panǰ,5000
hēn,hyn
būm,bwm
sind,snd
mukrān,mwklʾn
frēstīd ēstād,ŠِD͟RWNyt YKOYMWNʾt
wasyār,wskʾl
spāh,spʾhp
wisē,wwsʾ
gyāg,gywʾ
gulāl,gwlʾl
mad hēnd,mt HWE'd
parwast,plwst'
wad,twʾck
brahnag,blʾhnk
ō pēš,OL LOYN
franaft,plnptn
gulālān,gwlʾl
pērāmōn,pylʾmwn
gumārd ēstād,gwmʾlt YKOYMWNʾt
arwāstān,ʾlʾstʾn
mēzanīg,mycnyk
widār,wtʾ
bērōn,bylwn'
āwurd,YHYTYWNtn
was mar,ggml
mihrōg,mtrwk
anōšag,ʾnwšk'
zād,ycʾt
apardazišn,ʾpldcšn
pardāxt,pldʾhtn'
uskārd,ʾwskʾlt
nigerīd,nkylyt
tigr,tglk
čōbak,cwpk
frōd,pylwt
wist,ŠDYTWNt
ōzad hē,Y̱KTWNt HWEydy
warrag,wlmk
raft,SGYTWNt'
widard,wtltn
ōbast,ʾwpst
andar pēš ī,ḆYN LOYN Y
āmad,HYTYWNt
mānd,mʾnd
burzag,bwlck
burzādur,bwlcʾtwr
āmad ēstēm,YATWNt YKOYMWNm
aspinǰ,ʾsp̄nc
ōbast hēnd,ʾwpst HWEd
uzdēs,ʾwcdys
kard ēstēd,krt YKOYMWNyt'
amahraspand,ʾmhrspndʾ
wiyābān,wydʾp̄ʾn'
kard ēstēnd,krt YKOYMWNd
parist,plst
wardēnīd,wltynyt
srāy,slʾy
kāh,TBNA
nišāst,YTYBWNst'
andōhgen,ʾndwhkyn'
xwāh,hw
framāy,plmʾk
dahāg,dhʾk
hrōmāy,hlwmʾk
abaydāg,ʾp̄ytʾk
wašag,wšk
ō pēš,L LOYN'
mēzd,myʾzd
āfrīn,ʾp̄lyn
burzag,bwlc
be,BRA#ʾp̄syn'stn'
bay,bgʾn'g
abespārdan,ʾp̄spʾltn'
abespārēm,ʾp̄spʾlym
dānēm,YDO'YTNm
kunē,OḆYDWNt͟yyӯ
kaletāk,klytʾk
parist,p
abespārē,ʾp̄spʾlydy
nayē,DḆLWNt͟yyӯ
išān,šʾn
azbāy,ʾzbʾd
widāxt,wtʾh
dārē,YHSNNyӯ
azbāy,ʾzbʾ
zad,ztn
tanīgardīg,tn'krtyk
xšnāyišn,hšnʾdšn'
rāy,lʾdʾ
xwarrah,GDEʾ
dānā,dʾnʾ
tuwānā,twbʾnʾ
hamāg,hmʾk'
gētīg,gytyḵʾ
murwāg,mwlwʾk
xwāhēm,BOYHWNm
nibišt,npšt'
nēw,TWḆ
dōst,dwst'
ahlayīh,ʾhlʾyyh
passand,psʾn'd
