# https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7732185&Type=SatP&Digits=5&THigh=310&TLow=5&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=mol%2Fl&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm
#
Temperature (C)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
241.00	3.4062	45.070	0.022188	18.702	18.778	48.842	57.326	86.132	1185.1	-0.016010	110.56	0.62618	0.028159	0.94638	1.0567	46.895	50.494	110.53	43.018	68.058	503.18	17.283	17.098	0.047794
242.00	3.4662	44.991	0.022226	18.787	18.864	49.007	57.273	86.299	1181.0	-0.013678	110.07	0.62518	0.027924	0.96330	1.0381	46.894	50.492	110.40	43.171	68.499	503.03	17.141	17.135	0.048066
243.00	3.5270	44.912	0.022266	18.872	18.951	49.172	57.221	86.469	1177.0	-0.011314	109.59	0.62417	0.027689	0.98048	1.0199	46.892	50.489	110.28	43.324	68.945	502.88	17.001	17.171	0.048340
244.00	3.5887	44.832	0.022305	18.957	19.037	49.337	57.169	86.642	1173.0	-0.0089152	109.11	0.62315	0.027454	0.99793	1.0021	46.890	50.486	110.15	43.478	69.398	502.72	16.863	17.208	0.048617
245.00	3.6512	44.752	0.022345	19.042	19.124	49.502	57.118	86.817	1168.9	-0.0064820	108.63	0.62213	0.027219	1.0156	0.98461	46.888	50.483	110.02	43.633	69.857	502.56	16.725	17.244	0.048897
246.00	3.7145	44.672	0.022386	19.128	19.211	49.667	57.066	86.995	1164.8	-0.0040134	108.15	0.62110	0.026984	1.0336	0.96748	46.885	50.479	109.90	43.788	70.323	502.38	16.589	17.281	0.049179
247.00	3.7786	44.591	0.022426	19.213	19.298	49.832	57.016	87.176	1160.7	-0.0015087	107.68	0.62006	0.026749	1.0519	0.95069	46.882	50.475	109.77	43.944	70.795	502.20	16.455	17.318	0.049464
248.00	3.8436	44.509	0.022467	19.299	19.385	49.997	56.965	87.360	1156.6	0.0010329	107.21	0.61901	0.026514	1.0704	0.93422	46.879	50.470	109.64	44.101	71.273	502.02	16.321	17.355	0.049752
249.00	3.9095	44.428	0.022509	19.385	19.473	50.161	56.915	87.547	1152.4	0.0036122	106.75	0.61795	0.026278	1.0892	0.91808	46.876	50.465	109.52	44.258	71.759	501.82	16.189	17.392	0.050043
250.00	3.9762	44.345	0.022550	19.471	19.560	50.326	56.865	87.737	1148.2	0.0062300	106.28	0.61689	0.026043	1.1083	0.90226	46.872	50.460	109.39	44.416	72.251	501.62	16.059	17.429	0.050336
251.00	4.0438	44.263	0.022592	19.557	19.648	50.491	56.816	87.930	1144.1	0.0088870	105.82	0.61581	0.025808	1.1277	0.88674	46.868	50.454	109.26	44.575	72.751	501.41	15.929	17.467	0.050633
252.00	4.1122	44.180	0.022635	19.643	19.736	50.656	56.767	88.126	1139.8	0.011584	105.37	0.61473	0.025572	1.1474	0.87152	46.864	50.447	109.14	44.734	73.258	501.20	15.801	17.504	0.050933
253.00	4.1815	44.096	0.022678	19.729	19.824	50.820	56.719	88.325	1135.6	0.014322	104.91	0.61364	0.025337	1.1674	0.85660	46.859	50.441	109.01	44.895	73.772	500.98	15.674	17.542	0.051235
254.00	4.2518	44.012	0.022721	19.816	19.913	50.985	56.671	88.528	1131.3	0.017103	104.46	0.61254	0.025101	1.1877	0.84196	46.854	50.434	108.88	45.056	74.294	500.75	15.548	17.580	0.051541
255.00	4.3229	43.927	0.022765	19.903	20.001	51.150	56.623	88.734	1127.1	0.019926	104.01	0.61144	0.024866	1.2083	0.82759	46.848	50.426	108.76	45.217	74.825	500.51	15.424	17.617	0.051850
256.00	4.3949	43.843	0.022809	19.990	20.090	51.314	56.576	88.943	1122.8	0.022792	103.57	0.61032	0.024631	1.2292	0.81351	46.843	50.418	108.63	45.380	75.363	500.26	15.301	17.656	0.052163
257.00	4.4679	43.757	0.022853	20.077	20.179	51.479	56.529	89.156	1118.4	0.025704	103.13	0.60920	0.024395	1.2505	0.79969	46.837	50.410	108.50	45.543	75.909	500.01	15.178	17.694	0.052478
258.00	4.5417	43.671	0.022898	20.164	20.268	51.644	56.482	89.373	1114.1	0.028661	102.69	0.60807	0.024160	1.2721	0.78612	46.830	50.401	108.38	45.707	76.465	499.75	15.057	17.732	0.052797
259.00	4.6165	43.585	0.022944	20.251	20.357	51.808	56.436	89.593	1109.7	0.031665	102.25	0.60693	0.023924	1.2940	0.77282	46.824	50.391	108.25	45.872	77.029	499.48	14.938	17.771	0.053120
260.00	4.6923	43.498	0.022990	20.339	20.447	51.973	56.390	89.817	1105.3	0.034717	101.81	0.60578	0.023689	1.3162	0.75976	46.817	50.382	108.12	46.038	77.602	499.21	14.819	17.810	0.053446
261.00	4.7689	43.410	0.023036	20.426	20.536	52.138	56.345	90.045	1100.9	0.037818	101.38	0.60462	0.023453	1.3388	0.74695	46.809	50.371	107.99	46.205	78.184	498.92	14.701	17.848	0.053776
262.00	4.8466	43.323	0.023083	20.514	20.626	52.303	56.300	90.278	1096.5	0.040969	100.95	0.60346	0.023218	1.3617	0.73437	46.801	50.361	107.87	46.372	78.776	498.63	14.585	17.888	0.054110
263.00	4.9252	43.234	0.023130	20.602	20.716	52.467	56.256	90.514	1092.0	0.044172	100.52	0.60229	0.022983	1.3850	0.72203	46.793	50.349	107.74	46.540	79.377	498.33	14.469	17.927	0.054447
264.00	5.0047	43.145	0.023178	20.691	20.807	52.632	56.212	90.754	1087.5	0.047426	100.10	0.60110	0.022747	1.4086	0.70992	46.785	50.338	107.61	46.709	79.988	498.02	14.355	17.966	0.054789
265.00	5.0853	43.056	0.023226	20.779	20.897	52.797	56.169	90.999	1083.0	0.050735	99.672	0.59991	0.022512	1.4326	0.69802	46.776	50.325	107.48	46.880	80.610	497.71	14.242	18.006	0.055134
266.00	5.1668	42.966	0.023274	20.868	20.988	52.962	56.126	91.248	1078.5	0.054099	99.250	0.59871	0.022277	1.4570	0.68635	46.767	50.313	107.35	47.051	81.243	497.38	14.129	18.046	0.055484
267.00	5.2494	42.875	0.023323	20.956	21.079	53.127	56.083	91.502	1074.0	0.057519	98.831	0.59751	0.022042	1.4817	0.67488	46.757	50.300	107.22	47.222	81.886	497.05	14.018	18.086	0.055838
268.00	5.3329	42.784	0.023373	21.045	21.170	53.292	56.041	91.761	1069.4	0.060996	98.414	0.59629	0.021807	1.5069	0.66363	46.747	50.286	107.10	47.395	82.540	496.71	13.908	18.126	0.056196
269.00	5.4174	42.693	0.023423	21.134	21.261	53.457	55.999	92.024	1064.8	0.064533	97.998	0.59507	0.021572	1.5324	0.65258	46.736	50.272	106.97	47.569	83.206	496.36	13.798	18.167	0.056558
270.00	5.5030	42.601	0.023474	21.224	21.353	53.622	55.958	92.292	1060.2	0.068131	97.585	0.59383	0.021337	1.5583	0.64172	46.726	50.257	106.84	47.744	83.884	496.00	13.690	18.208	0.056926
271.00	5.5896	42.508	0.023525	21.313	21.445	53.788	55.918	92.566	1055.5	0.071790	97.174	0.59259	0.021102	1.5846	0.63106	46.714	50.242	106.71	47.919	84.574	495.64	13.583	18.249	0.057297
272.00	5.6772	42.415	0.023577	21.403	21.537	53.953	55.878	92.845	1050.9	0.075513	96.764	0.59134	0.020867	1.6114	0.62059	46.703	50.226	106.58	48.096	85.276	495.26	13.476	18.290	0.057674
273.00	5.7659	42.321	0.023629	21.493	21.629	54.118	55.838	93.129	1046.2	0.079302	96.357	0.59008	0.020632	1.6385	0.61031	46.691	50.210	106.45	48.274	85.991	494.87	13.371	18.331	0.058056
274.00	5.8556	42.226	0.023682	21.583	21.722	54.284	55.799	93.418	1041.4	0.083157	95.951	0.58882	0.020398	1.6661	0.60021	46.678	50.193	106.32	48.453	86.720	494.48	13.266	18.373	0.058442
275.00	5.9464	42.131	0.023735	21.674	21.815	54.449	55.760	93.713	1036.7	0.087081	95.547	0.58754	0.020163	1.6941	0.59029	46.665	50.176	106.19	48.632	87.462	494.08	13.163	18.415	0.058834
276.00	6.0383	42.036	0.023789	21.764	21.908	54.615	55.722	94.015	1031.9	0.091075	95.144	0.58626	0.019929	1.7225	0.58054	46.652	50.158	106.06	48.813	88.218	493.67	13.060	18.457	0.059232
277.00	6.1312	41.939	0.023844	21.855	22.001	54.781	55.685	94.322	1027.1	0.095142	94.743	0.58496	0.019695	1.7514	0.57096	46.638	50.139	105.93	48.995	88.989	493.25	12.958	18.500	0.059634
278.00	6.2252	41.842	0.023899	21.946	22.095	54.947	55.648	94.635	1022.3	0.099283	94.344	0.58366	0.019461	1.7808	0.56155	46.624	50.120	105.80	49.178	89.775	492.81	12.857	18.543	0.060043
279.00	6.3203	41.745	0.023955	22.037	22.189	55.113	55.611	94.955	1017.5	0.10350	93.946	0.58235	0.019227	1.8106	0.55230	46.610	50.100	105.66	49.362	90.576	492.37	12.756	18.586	0.060457
280.00	6.4166	41.647	0.024012	22.129	22.283	55.279	55.576	95.281	1012.6	0.10779	93.550	0.58103	0.018993	1.8409	0.54321	46.595	50.080	105.53	49.547	91.393	491.93	12.657	18.630	0.060878
281.00	6.5139	41.548	0.024069	22.220	22.377	55.445	55.540	95.615	1007.7	0.11217	93.155	0.57970	0.018759	1.8717	0.53427	46.579	50.059	105.40	49.734	92.227	491.47	12.558	18.673	0.061304
282.00	6.6124	41.448	0.024126	22.312	22.472	55.612	55.506	95.955	1002.8	0.11663	92.761	0.57836	0.018526	1.9030	0.52549	46.563	50.038	105.27	49.921	93.077	491.00	12.460	18.717	0.061737
283.00	6.7120	41.348	0.024185	22.405	22.567	55.779	55.472	96.303	997.84	0.12117	92.369	0.57701	0.018292	1.9348	0.51686	46.546	50.016	105.13	50.110	93.945	490.52	12.363	18.762	0.062177
284.00	6.8128	41.247	0.024244	22.497	22.662	55.945	55.438	96.658	992.86	0.12580	91.978	0.57565	0.018059	1.9670	0.50838	46.529	49.993	105.00	50.300	94.831	490.03	12.267	18.807	0.062623
285.00	6.9147	41.146	0.024304	22.590	22.758	56.112	55.406	97.020	987.86	0.13052	91.589	0.57429	0.017826	1.9999	0.50004	46.512	49.970	104.87	50.491	95.736	489.53	12.172	18.852	0.063076
286.00	7.0177	41.043	0.024364	22.683	22.854	56.279	55.373	97.391	982.83	0.13533	91.200	0.57291	0.017593	2.0332	0.49184	46.494	49.946	104.73	50.684	96.660	489.02	12.077	18.897	0.063537
287.00	7.1220	40.940	0.024426	22.776	22.950	56.447	55.342	97.770	977.78	0.14024	90.813	0.57153	0.017361	2.0671	0.48377	46.475	49.921	104.60	50.877	97.604	488.50	11.983	18.943	0.064005
288.00	7.2274	40.837	0.024488	22.869	23.046	56.614	55.311	98.158	972.69	0.14524	90.426	0.57013	0.017128	2.1015	0.47584	46.456	49.896	104.46	51.072	98.568	487.97	11.890	18.989	0.064481
289.00	7.3340	40.732	0.024551	22.963	23.143	56.782	55.281	98.554	967.58	0.15034	90.041	0.56873	0.016896	2.1365	0.46805	46.437	49.870	104.33	51.268	99.554	487.43	11.797	19.036	0.064964
290.00	7.4418	40.627	0.024614	23.057	23.240	56.950	55.252	98.960	962.44	0.15555	89.657	0.56732	0.016664	2.1721	0.46038	46.417	49.843	104.19	51.466	100.56	486.88	11.705	19.083	0.065456
291.00	7.5508	40.521	0.024679	23.151	23.338	57.118	55.223	99.375	957.27	0.16086	89.273	0.56589	0.016433	2.2083	0.45284	46.396	49.815	104.05	51.665	101.59	486.31	11.614	19.131	0.065957
292.00	7.6610	40.414	0.024744	23.246	23.436	57.286	55.195	99.799	952.07	0.16629	88.891	0.56446	0.016201	2.2451	0.44542	46.375	49.787	103.91	51.865	102.65	485.74	11.523	19.179	0.066466
293.00	7.7725	40.307	0.024810	23.341	23.534	57.455	55.168	100.23	946.84	0.17182	88.509	0.56302	0.015970	2.2825	0.43812	46.353	49.759	103.78	52.067	103.73	485.15	11.433	19.227	0.066985
294.00	7.8852	40.198	0.024877	23.436	23.632	57.624	55.142	100.68	941.59	0.17747	88.128	0.56157	0.015739	2.3205	0.43094	46.331	49.729	103.64	52.270	104.83	484.56	11.344	19.276	0.067513
295.00	7.9991	40.089	0.024945	23.531	23.731	57.793	55.116	101.14	936.30	0.18324	87.748	0.56011	0.015508	2.3592	0.42387	46.308	49.699	103.50	52.474	105.96	483.95	11.255	19.325	0.068051
296.00	8.1143	39.979	0.025013	23.627	23.830	57.962	55.091	101.60	930.98	0.18914	87.368	0.55864	0.015278	2.3985	0.41692	46.285	49.668	103.36	52.680	107.12	483.33	11.167	19.375	0.068599
297.00	8.2308	39.868	0.025083	23.723	23.930	58.132	55.067	102.08	925.63	0.19516	86.989	0.55715	0.015048	2.4385	0.41009	46.260	49.636	103.22	52.887	108.31	482.70	11.080	19.425	0.069157
298.00	8.3485	39.756	0.025153	23.820	24.030	58.302	55.044	102.57	920.25	0.20131	86.611	0.55566	0.014818	2.4792	0.40336	46.236	49.603	103.08	53.096	109.52	482.05	10.993	19.476	0.069726
299.00	8.4676	39.643	0.025225	23.916	24.130	58.472	55.022	103.08	914.84	0.20760	86.233	0.55416	0.014589	2.5206	0.39673	46.210	49.570	102.94	53.307	110.77	481.40	10.907	19.528	0.070307
300.00	8.5879	39.530	0.025298	24.013	24.231	58.643	55.001	103.60	909.40	0.21403	85.855	0.55265	0.014360	2.5627	0.39021	46.184	49.535	102.79	53.519	112.05	480.73	10.821	19.580	0.070900
301.00	8.7095	39.415	0.025371	24.111	24.332	58.814	54.980	104.13	903.93	0.22060	85.478	0.55112	0.014131	2.6056	0.38380	46.158	49.500	102.65	53.733	113.36	480.05	10.736	19.632	0.071504
302.00	8.8325	39.299	0.025446	24.209	24.433	58.985	54.961	104.67	898.42	0.22732	85.102	0.54959	0.013902	2.6492	0.37748	46.130	49.464	102.51	53.948	114.71	479.35	10.651	19.685	0.072122
303.00	8.9568	39.183	0.025521	24.307	24.535	59.156	54.942	105.23	892.88	0.23420	84.725	0.54804	0.013674	2.6935	0.37126	46.102	49.428	102.36	54.165	116.09	478.65	10.567	19.739	0.072753
304.00	9.0824	39.065	0.025598	24.405	24.638	59.328	54.925	105.81	887.31	0.24123	84.349	0.54649	0.013447	2.7387	0.36514	46.074	49.390	102.22	54.384	117.51	477.93	10.484	19.794	0.073397
305.00	9.2094	38.947	0.025676	24.504	24.740	59.501	54.909	106.40	881.70	0.24843	83.973	0.54492	0.013219	2.7847	0.35911	46.044	49.352	102.07	54.604	118.97	477.20	10.401	19.849	0.074056
306.00	9.3378	38.827	0.025755	24.603	24.844	59.673	54.893	107.00	876.06	0.25580	83.597	0.54335	0.012992	2.8315	0.35317	46.014	49.312	101.92	54.826	120.47	476.45	10.318	19.904	0.074730
307.00	9.4675	38.707	0.025835	24.703	24.947	59.847	54.879	107.63	870.38	0.26335	83.221	0.54176	0.012766	2.8792	0.34732	45.983	49.272	101.77	55.050	122.01	475.69	10.236	19.961	0.075419
308.00	9.5986	38.585	0.025917	24.803	25.052	60.020	54.866	108.27	864.67	0.27108	82.846	0.54016	0.012540	2.9277	0.34156	45.952	49.230	101.63	55.276	123.60	474.91	10.154	20.018	0.076125
309.00	9.7311	38.462	0.026000	24.903	25.156	60.194	54.854	108.94	858.92	0.27899	82.470	0.53855	0.012314	2.9771	0.33589	45.919	49.188	101.48	55.504	125.23	474.12	10.073	20.076	0.076847
310.00	9.8651	38.338	0.026084	25.004	25.261	60.369	54.844	109.62	853.13	0.28711	82.094	0.53692	0.012089	3.0275	0.33030	45.886	49.145	101.32	55.733	126.92	473.32	9.9925	20.135	0.077587
